# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

aerosol-ambar.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol ambar
aerosol-para-lampazo.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol para lampazo
difusor-aromatico-con-varillas.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Difusor aromatico con varillas
aerosol-saphirus.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol saphirus
saphirus-textil.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Saphirus textil
aceite-esencial-ambar.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aceite esencial ambar
saphirus-touch-repuesto-dispositivo.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Saphirus touch repuesto + dispositivo
saphirus-touch-repuesto.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Saphirus touch repuesto
dispenser-analogico-atomizador.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Dispenser analogico atomizador
pinitos-walker.jpg  |  producto  |  LINEA AUTO  |  Pinitos Walker
pinitos-k78.jpg  |  producto  |  LINEA AUTO  |  Pinitos k78
bolitas-perfumadas.jpg  |  producto  |  LINEA AUTO  |  Bolitas perfumadas
lata-en-gel-mini-k78.jpg  |  producto  |  LINEA AUTO  |  Lata en gel mini k78
lata-en-gel-mini-glade.jpg  |  producto  |  LINEA AUTO  |  Lata en gel mini glade
lubricante-en-aerosol-escudo.jpg  |  producto  |  LINEA AUTO  |  Lubricante en aerosol Escudo
silicona-aerosol-k78.jpg  |  producto  |  LINEA AUTO  |  Silicona aerosol k78
cepillo-p-auto.jpg  |  producto  |  LINEA AUTO  |  Cepillo p/auto
alfombra-bano-60x40-blanco-oriental.jpg  |  producto  |  LINEA ALFOMBRAS  |  Alfombra baño 60x40 blanco oriental
alfombra-de-goma-ventosa.jpg  |  producto  |  LINEA ALFOMBRAS  |  Alfombra de goma ventosa
alfombra-doble-base-35x50.jpg  |  producto  |  LINEA ALFOMBRAS  |  Alfombra doble base 35x50
balde-centrifugo-tambor-acero.jpg  |  producto  |  LINEA BALDES  |  Balde centrifugo tambor acero
balde-mopero-16-5l.jpg  |  producto  |  LINEA BALDES  |  Balde Mopero 16.5L
baldes-x14.jpg  |  producto  |  LINEA BALDES  |  Baldes x14
baldes-x12.jpg  |  producto  |  LINEA BALDES  |  Baldes x12
baldes-x9.jpg  |  producto  |  LINEA BALDES  |  Baldes x9
repuesto-escurridor-p-balde-16-5l.jpg  |  producto  |  LINEA BALDE CENTRIFUGO REPUESTO  |  Repuesto escurridor P/balde 16,5l
cabo-p-balde-centrifugo-porta-mopa-1-45m.jpg  |  producto  |  LINEA BALDE CENTRIFUGO REPUESTO  |  Cabo P/balde centrifugo + Porta mopa 1,45m
comedero-chico.jpg  |  producto  |  LINEA BALANCEADO ANIMALES  |  Comedero chico
comedero-grande.jpg  |  producto  |  LINEA BALANCEADO ANIMALES  |  Comedero grande
palita-sanitaria.jpg  |  producto  |  LINEA BALANCEADO ANIMALES  |  Palita sanitaria
barre-hojas-profesional-grande.jpg  |  producto  |  LINEA BARRE HOJAS  |  Barre Hojas Profesional (grande)
barre-hojas-reforzado-negro.jpg  |  producto  |  LINEA BARRE HOJAS  |  barre hojas reforzado negro
bolsas-de-consorcio-60x90-rosario.jpg  |  producto  |  LINEA DE BOLSAS  |  Bolsas de consorcio 60x90 Rosario
bolsas-de-consorcio-85x110-rosario.jpg  |  producto  |  LINEA DE BOLSAS  |  Bolsas de consorcio 85x110 Rosario
bolsas-de-consorcio-90x120-rosario.jpg  |  producto  |  LINEA DE BOLSAS  |  Bolsas de consorcio 90x120 Rosario
bolsas-de-residuos-45x60-rosario.jpg  |  producto  |  LINEA DE BOLSAS  |  Bolsas de residuos 45x60 Rosario
broches-madera-rayita.jpg  |  producto  |  LINEA BROCHES  |  Broches madera rayita
broches-plasticos-madera-make.jpg  |  producto  |  LINEA BROCHES  |  Broches plasticos-madera Make
broches-plasticos-rayita.jpg  |  producto  |  LINEA BROCHES  |  Broches plasticos rayita
burletes-doble-de-friselina.jpg  |  producto  |  LINEA BURLETTES P/PUERTA  |  Burletes doble de friselina
burletes-doble-de-cuerina.jpg  |  producto  |  LINEA BURLETTES P/PUERTA  |  Burletes doble de cuerina
